sample_size	clusters_data_all_mean	clusters_data_all_max	clusters_data_all_min	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2870.88	3255	2418	3001	2929	3255	2961	2418	3075	2714	2886	2899	3001	2871	2724	2746	2917	3166	3058	2700	2538	2727	2900	2871	2900	2940	2704
2	3419.71	4715	3058	3218	3596	4715	4379	3058	3369	3136	3133	3438	3342	3058	3233	3362	4416	3446	3621	3175	3062	3097	3304	3167	3205	3248	3295
3	3687.29	5015	3271	3334	3736	5015	4708	3479	3661	3292	3478	3729	3457	3530	3471	3553	4722	3924	3735	3360	3276	3518	3820	3271	3388	3362	3676
4	3990.92	5659	3446	3446	4177	5659	4842	3601	3851	3639	3782	3887	3633	3766	4858	3613	4933	4080	4047	3539	3694	4244	3996	3727	3494	3495	3779
5	4137.00	5735	3553	3619	4296	5735	4909	3872	3997	3837	3890	4098	3716	3831	5162	3697	5085	4284	4190	3987	3838	4304	4042	3817	3580	3553	3949
6	4321.96	5883	3634	3891	4430	5883	5291	4003	4586	3983	4051	4219	4311	3875	5295	3822	5299	4412	4329	4087	3934	4441	4086	3917	3634	3846	4102
7	4482.42	6006	3714	3994	4496	6006	5350	4277	4623	4212	4145	4295	4662	3960	5557	4002	5896	4452	4426	4224	4067	4682	4235	4240	3714	3894	4169
8	4764.12	6233	3778	4294	4558	6233	5495	4342	4952	4265	5470	4345	4767	4004	5656	5348	6011	4562	4612	4332	4144	6005	4324	4429	3778	4056	4357
9	4861.17	6285	4080	4376	4686	6285	5560	4382	4989	4341	5591	4382	4827	4091	5794	5515	6072	4606	4678	4482	4235	6109	4370	4603	4080	4090	4524
10	5106.62	6318	4195	4585	4762	6318	5662	4594	5059	4392	6085	4461	6137	4195	6077	5575	6209	4726	4788	4660	4368	6191	4495	4744	4301	5436	4739
11	5353.42	6470	4375	4708	4880	6470	5717	5919	6371	4457	6145	4746	6349	4484	6140	5642	6464	4776	4837	4952	4919	6266	4612	4838	4375	5609	4806
12	5474.83	6500	4554	4778	5060	6500	5876	5991	6460	4558	6183	4846	6424	4630	6175	5930	6493	4831	4941	4992	5207	6374	5122	4955	4554	5673	4843
13	5570.75	6578	4610	4823	5137	6548	6019	6478	6529	4610	6267	4945	6578	4726	6246	6027	6529	4902	4975	5018	5298	6444	5196	5019	4739	5752	4893
14	5852.08	6707	4816	6129	5200	6639	6082	6597	6626	5917	6339	5048	6639	4877	6707	6130	6626	5383	5171	5107	6602	6506	5451	5044	4816	5859	4955
15	6035.75	6795	4928	6214	6498	6717	6144	6725	6654	5979	6364	5520	6701	4940	6795	6367	6652	5588	5622	5210	6631	6678	5543	5312	4928	6070	5006
16	6164.04	6879	4978	6364	6582	6879	6259	6825	6678	6183	6402	5584	6759	4986	6821	6428	6711	5618	5668	5320	6725	6777	5580	5372	4978	6128	6310
17	6249.17	6958	5076	6390	6640	6940	6285	6851	6729	6415	6466	5723	6781	5081	6958	6521	6734	5673	5692	5440	6769	6813	5667	5445	5076	6395	6496
18	6404.29	7043	5206	6496	6664	6994	6342	6936	6922	6875	6567	5745	6974	5206	7010	6576	6764	5845	5722	5463	6799	7043	5706	6735	5206	6534	6579
19	6533.62	7164	5266	6544	6714	7164	6393	6979	7069	6916	6764	5818	7002	6507	7102	6620	6797	5887	5774	5497	6985	7093	5737	6757	5266	6619	6803
20	6608.83	7201	5314	6597	6744	7177	6452	7059	7133	6960	6805	5897	7059	6610	7152	6697	6833	5910	5796	5548	7065	7117	5879	7201	5314	6781	6826
21	6722.96	7237	5344	6650	6853	7200	6899	7116	7211	7040	6841	5909	7154	7060	7197	7134	6851	5962	5814	5586	7114	7135	5931	7237	5344	7213	6900
22	6869.17	7283	5587	6862	7283	7219	7020	7148	7229	7160	6980	5959	7241	7110	7242	7184	6976	5998	5990	5601	7172	7217	7217	7266	5587	7271	6928
23	6948.17	7356	5644	6934	7356	7294	7092	7182	7264	7180	7198	6003	7317	7124	7323	7203	7035	6040	6020	6038	7265	7260	7330	7341	5644	7338	6975
24	7003.67	7389	5684	6952	7389	7342	7298	7216	7291	7232	7269	6038	7357	7328	7346	7279	7075	6111	6069	6085	7381	7278	7343	7368	5684	7361	6996
25	7174.96	7429	6104	7009	7407	7368	7411	7417	7333	7261	7283	7322	7380	7361	7379	7385	7253	6131	6104	6108	7429	7307	7390	7391	6969	7378	7423
26	7309.62	7447	6179	7435	7441	7407	7440	7440	7407	7419	7440	7435	7441	7390	7397	7424	7301	6179	6179	7390	7447	7353	7413	7410	7397	7411	7435
27	7458.00	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458	7458
