sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24	Rep25	Rep26	Rep27	Rep28	Rep29	Rep30
1	2735	2735	2803	2706	2906	2803	2906	3059	2521	2906	2735	2694	2847	2864	2931	3058	2931	1684	2868	2996	2694	2868	2735	1684	2826	2521	2706	2771	2771	2370
2	3159	2984	3214	2995	3282	3293	3299	3408	2875	3270	2897	2980	3252	3150	3228	3424	3289	3015	3154	3347	3062	3287	2897	2643	3009	2932	3207	3156	3377	3244
3	3448	3368	3280	3243	3437	3367	3419	3510	3103	3506	3103	3387	3467	3197	3400	3550	3546	3324	3292	3511	3375	3385	3103	3003	3223	3047	3298	3247	3557	3570
4	3556	3443	3402	3415	3506	3462	3586	3580	3435	3655	3213	3452	3658	3272	3636	3670	3710	3407	3504	3621	3460	3501	3216	3267	3458	3221	3444	3471	3622	3657
5	3709	3621	3430	3472	3545	3516	3766	3654	3518	3746	3267	3587	3713	3402	3724	3755	3799	3602	3619	3665	3531	3564	3341	3336	3691	3306	3632	3523	3771	3762
6	3828	3727	3681	3673	3632	3657	3798	3794	3546	3826	3372	3658	3789	3599	3776	3792	3853	3844	3737	3727	3633	3783	3501	3517	3758	3438	3666	3592	3874	3807
7	3865	3816	3760	3760	3720	3732	3859	3826	3675	3851	3615	3683	3821	3653	3956	3963	3981	3976	3806	3808	3813	3964	3607	3611	3816	3542	3766	3824	3933	3936
8	4008	3924	3796	3849	3797	3833	3944	3900	3757	3904	3682	3747	3885	3826	4020	4030	4052	4006	3829	3860	3878	4044	3649	3689	3836	3594	3805	3898	3978	3962
9	4046	3939	3868	3896	3828	3968	4072	3936	3848	3926	3809	3818	3942	3897	4057	4062	4142	4073	3894	3980	4005	4110	3659	3777	3904	3755	3920	3953	4030	4001
10	4083	3972	3997	3944	3893	4014	4118	3976	3929	3950	3948	3920	4012	3914	4077	4079	4192	4102	4006	3992	4038	4121	3674	3854	4019	3809	4012	4039	4108	4018
11	4113	4054	4020	3955	3916	4041	4146	4069	4011	3969	3964	4060	4042	3931	4101	4130	4215	4126	4078	4076	4082	4165	3761	3965	4080	3944	4026	4064	4168	4083
12	4129	4080	4109	4067	3947	4064	4165	4171	4037	3997	4090	4073	4084	3975	4177	4182	4234	4177	4107	4147	4128	4199	3879	4039	4101	4049	4043	4074	4184	4101
13	4165	4126	4126	4085	4052	4104	4196	4185	4135	4109	4111	4092	4135	4053	4235	4192	4250	4206	4127	4208	4146	4220	3961	4057	4149	4117	4079	4123	4195	4143
14	4180	4143	4138	4197	4119	4132	4207	4220	4154	4136	4154	4119	4150	4062	4247	4204	4263	4242	4144	4225	4183	4228	4054	4105	4194	4179	4157	4168	4247	4169
15	4219	4182	4168	4202	4196	4233	4220	4232	4186	4163	4199	4144	4162	4075	4251	4222	4272	4250	4173	4244	4210	4242	4084	4129	4229	4225	4194	4193	4259	4226
16	4234	4228	4211	4230	4218	4248	4227	4238	4203	4254	4223	4196	4183	4100	4269	4225	4275	4261	4198	4256	4260	4246	4100	4141	4271	4250	4225	4208	4267	4235
17	4243	4236	4233	4243	4243	4264	4262	4267	4212	4268	4232	4228	4269	4162	4288	4239	4292	4275	4243	4267	4267	4268	4135	4148	4288	4258	4255	4234	4274	4252
18	4266	4259	4241	4280	4277	4281	4267	4270	4250	4285	4258	4254	4280	4211	4293	4270	4295	4286	4257	4272	4278	4276	4185	4179	4294	4280	4279	4251	4287	4262
19	4275	4263	4256	4298	4288	4298	4279	4272	4277	4295	4268	4270	4303	4221	4308	4279	4300	4302	4275	4279	4293	4301	4192	4192	4295	4291	4296	4287	4297	4271
20	4281	4282	4269	4314	4296	4302	4296	4277	4296	4306	4277	4281	4311	4233	4316	4303	4305	4304	4286	4284	4296	4305	4254	4285	4311	4299	4310	4296	4304	4295
21	4316	4299	4305	4315	4302	4310	4305	4299	4299	4308	4288	4305	4316	4271	4319	4321	4306	4313	4294	4295	4297	4314	4273	4297	4318	4304	4314	4309	4307	4303
22	4316	4324	4314	4317	4305	4315	4310	4305	4316	4311	4306	4313	4322	4280	4328	4323	4322	4316	4312	4312	4320	4321	4314	4304	4320	4308	4316	4312	4317	4321
23	4323	4328	4326	4317	4312	4320	4319	4324	4329	4313	4322	4324	4323	4317	4328	4325	4327	4321	4323	4319	4320	4329	4316	4324	4323	4325	4325	4328	4321	4323
24	4325	4330	4329	4325	4323	4322	4326	4324	4330	4328	4324	4325	4324	4325	4329	4328	4327	4327	4329	4326	4330	4329	4321	4326	4329	4326	4328	4328	4328	4323
25	4330	4330	4330	4327	4329	4330	4327	4327	4330	4329	4330	4328	4330	4328	4329	4330	4330	4330	4330	4327	4330	4330	4328	4329	4330	4328	4330	4329	4330	4329
26	4330	4330	4330	4330	4330	4330	4330	4327	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330
27	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330
