sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	1684	2862	1684	2864	2931	2370	2521	2792	2735	2663	2663	2906	2862	2641	2906	2706	2862	1684	2868	2868	2792	2862	2641	2694
2	2913	3305	2978	3048	3235	3038	3131	3253	3033	3219	3296	3158	3320	2943	3299	3139	3021	2913	3057	3010	2985	3105	2995	2953
3	3235	3415	3188	3150	3339	3299	3314	3330	3350	3525	3398	3407	3467	3127	3478	3241	3260	3166	3245	3178	3206	3284	3276	3077
4	3496	3647	3334	3390	3570	3418	3608	3401	3468	3556	3467	3484	3592	3462	3575	3377	3336	3468	3340	3362	3452	3377	3536	3365
5	3622	3719	3555	3450	3735	3649	3648	3466	3669	3668	3514	3702	3637	3540	3676	3411	3384	3538	3595	3423	3710	3499	3618	3424
6	3646	3783	3662	3539	3773	3731	3738	3593	3751	3818	3626	3774	3672	3618	3722	3667	3520	3760	3800	3692	3753	3542	3675	3671
7	3782	3924	3717	3592	3839	3758	3767	3777	3833	3905	3892	3798	3705	3696	3828	3761	3586	3829	3929	3781	3861	3701	3746	3739
8	3908	3965	3862	3788	3865	3778	3864	3829	3919	3934	3988	3916	3854	3827	3880	3887	3629	3895	3958	3863	3932	3863	3812	3849
9	3941	4011	3977	3913	3950	3824	3982	3951	3999	3978	4031	3998	3907	3916	3912	3942	3807	3986	3985	4039	3976	3903	3834	3967
10	3957	4038	4037	3985	4020	3951	3995	3997	4006	4001	4061	4033	3948	3933	3926	4007	3892	4007	4007	4087	4031	3927	3952	3990
11	4000	4157	4057	4030	4043	3994	4063	4058	4047	4059	4101	4056	3982	4017	3985	4079	3909	4126	4039	4134	4041	4008	4008	4032
12	4068	4175	4127	4051	4095	4060	4094	4106	4109	4115	4142	4109	4083	4036	4002	4157	3979	4158	4071	4171	4098	4072	4018	4067
13	4090	4189	4147	4088	4156	4088	4194	4136	4143	4141	4154	4143	4116	4064	4034	4191	4046	4177	4112	4195	4117	4111	4039	4113
14	4134	4220	4161	4139	4166	4147	4199	4176	4185	4231	4241	4157	4148	4091	4145	4214	4080	4191	4132	4208	4169	4212	4076	4158
15	4169	4247	4178	4187	4172	4182	4231	4198	4192	4239	4267	4173	4193	4150	4191	4232	4090	4252	4166	4223	4181	4233	4183	4195
16	4194	4274	4198	4239	4184	4227	4240	4224	4232	4266	4283	4179	4212	4165	4231	4261	4141	4269	4170	4232	4225	4249	4239	4223
17	4236	4291	4220	4240	4199	4267	4264	4235	4264	4275	4305	4225	4243	4210	4248	4271	4148	4286	4197	4271	4260	4271	4257	4274
18	4275	4303	4231	4242	4207	4300	4292	4237	4270	4279	4310	4231	4255	4218	4263	4288	4182	4303	4215	4293	4291	4286	4276	4289
19	4293	4320	4243	4255	4302	4306	4299	4313	4298	4288	4317	4255	4265	4225	4290	4296	4206	4315	4226	4297	4294	4303	4288	4307
20	4305	4321	4270	4300	4319	4308	4302	4319	4304	4299	4322	4272	4268	4234	4308	4310	4223	4316	4318	4299	4299	4310	4299	4312
21	4308	4324	4286	4304	4322	4316	4307	4325	4309	4308	4322	4276	4322	4276	4313	4313	4310	4316	4324	4306	4304	4316	4316	4312
22	4312	4329	4314	4314	4323	4327	4315	4326	4319	4310	4322	4300	4325	4311	4323	4320	4317	4317	4326	4308	4312	4321	4323	4317
23	4321	4330	4326	4314	4324	4327	4326	4327	4329	4318	4329	4314	4328	4314	4330	4323	4327	4330	4328	4313	4317	4321	4327	4321
24	4325	4330	4329	4325	4330	4330	4329	4329	4330	4327	4330	4324	4330	4328	4330	4327	4328	4330	4329	4322	4322	4328	4328	4326
25	4326	4330	4330	4330	4330	4330	4330	4329	4330	4329	4330	4327	4330	4328	4330	4330	4329	4330	4330	4329	4329	4329	4330	4329
26	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330
27	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330
