sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2870	2862	2862	2706	2682	2826	2847	2706	2641	2906	2694	2735	2803	2847	2521	1684	2663	2847	2870	3058	2792	2735	3058	2370
2	3026	3305	3044	2979	3026	3130	3180	3048	3315	3235	2953	3238	2915	3270	3073	3194	3049	3185	3235	3226	3157	2920	3323	2962
3	3201	3387	3114	3192	3217	3410	3450	3192	3435	3495	3132	3351	3212	3375	3349	3322	3175	3308	3457	3531	3427	3214	3516	3350
4	3325	3530	3411	3345	3353	3457	3610	3350	3588	3576	3404	3641	3297	3528	3487	3447	3367	3385	3616	3752	3635	3439	3651	3519
5	3466	3601	3554	3435	3410	3550	3737	3494	3703	3613	3500	3685	3598	3678	3673	3658	3667	3628	3679	3903	3731	3565	3786	3727
6	3591	3647	3618	3551	3516	3699	3810	3646	3798	3781	3697	3719	3827	3761	3766	3819	3714	3769	3741	3944	3869	3630	3832	3843
7	3716	3713	3636	3648	3557	3746	3867	3688	3863	3825	3734	3859	3913	3846	3888	3930	3752	3914	3852	4022	3983	3675	3923	3990
8	3805	3793	3685	3799	3727	3855	3897	3830	3928	3937	3824	3910	3981	3880	3930	4027	3797	3930	3968	4085	4036	3778	3968	4010
9	3843	3866	3785	3949	3895	3916	3939	3849	4043	3990	3928	3939	4020	3912	3969	4114	3877	3973	3997	4101	4048	3813	3983	4061
10	3884	3905	3833	3978	3924	3954	3965	3914	4053	4108	3974	4011	4068	3944	3996	4153	4026	4012	4021	4126	4057	3936	4005	4074
11	4003	3925	3920	4090	3960	3978	4027	3940	4102	4145	4054	4103	4092	4075	4032	4174	4050	4042	4043	4168	4085	4048	4036	4091
12	4053	3970	3972	4141	3982	4035	4086	4028	4121	4154	4125	4134	4117	4095	4073	4193	4100	4075	4137	4183	4110	4078	4048	4168
13	4076	4084	4074	4153	4028	4047	4123	4068	4217	4193	4160	4153	4162	4133	4128	4201	4110	4094	4148	4193	4150	4085	4082	4204
14	4123	4117	4106	4175	4039	4065	4146	4088	4247	4216	4186	4175	4194	4146	4145	4233	4123	4102	4180	4232	4191	4151	4087	4248
15	4138	4147	4158	4205	4076	4079	4245	4098	4267	4246	4198	4234	4205	4162	4242	4249	4213	4119	4205	4249	4233	4186	4123	4265
16	4160	4165	4190	4233	4093	4124	4260	4189	4282	4258	4214	4239	4229	4174	4258	4255	4229	4184	4211	4262	4243	4218	4236	4279
17	4167	4248	4195	4258	4168	4152	4263	4198	4284	4282	4267	4249	4254	4210	4268	4282	4251	4239	4213	4282	4259	4221	4244	4289
18	4172	4251	4206	4276	4186	4196	4280	4260	4292	4298	4277	4264	4273	4214	4276	4289	4258	4263	4214	4291	4266	4236	4257	4292
19	4196	4270	4209	4281	4225	4215	4286	4272	4298	4306	4283	4291	4277	4248	4285	4297	4297	4289	4239	4295	4281	4240	4300	4296
20	4208	4308	4220	4299	4234	4221	4295	4298	4307	4312	4285	4293	4288	4281	4288	4309	4308	4300	4272	4307	4293	4256	4306	4301
21	4211	4310	4238	4302	4251	4225	4302	4300	4309	4315	4310	4304	4303	4301	4291	4314	4309	4303	4295	4309	4298	4304	4307	4303
22	4224	4324	4243	4303	4288	4234	4306	4308	4320	4322	4311	4316	4305	4304	4300	4317	4324	4308	4317	4314	4319	4310	4311	4306
23	4255	4326	4256	4313	4312	4315	4325	4314	4324	4329	4312	4321	4325	4327	4304	4318	4324	4310	4323	4321	4320	4321	4311	4320
24	4259	4328	4327	4316	4328	4319	4330	4315	4327	4329	4324	4326	4330	4329	4306	4322	4329	4318	4330	4326	4322	4329	4319	4325
25	4260	4329	4328	4329	4328	4330	4330	4326	4330	4330	4327	4327	4330	4330	4306	4329	4329	4318	4330	4330	4329	4330	4322	4327
26	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4327	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4327
27	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330	4330
