sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24	Rep25	Rep26	Rep27	Rep28	Rep29	Rep30
1	2996	3059	2906	2735	2706	2906	2970	2862	2970	2847	3058	2792	2706	2862	2862	2706	2906	2906	2735	2370	3058	2792	3059	2996	2931	2682	2521	2706	2803	2862
2	3150	3378	3150	2920	3043	3028	3312	3061	3250	3196	3363	3239	3139	3105	3061	2947	3045	3043	2998	3009	3274	3185	3334	3253	3252	3171	3028	3120	3215	3234
3	3339	3509	3464	3305	3232	3108	3440	3161	3386	3493	3495	3381	3274	3184	3161	3003	3124	3194	3208	3312	3344	3398	3450	3546	3419	3335	3127	3359	3486	3322
4	3618	3581	3535	3547	3287	3379	3522	3186	3446	3538	3587	3491	3330	3500	3480	3321	3386	3391	3488	3500	3471	3503	3501	3598	3616	3378	3281	3497	3602	3587
5	3769	3662	3625	3583	3361	3470	3551	3280	3647	3595	3635	3546	3467	3617	3648	3422	3535	3565	3583	3724	3584	3566	3528	3691	3709	3570	3361	3577	3630	3673
6	3870	3701	3662	3746	3440	3526	3729	3319	3676	3717	3685	3578	3511	3657	3735	3626	3719	3623	3690	3878	3607	3606	3576	3755	3876	3615	3564	3626	3674	3772
7	3998	3809	3816	3813	3582	3615	3891	3369	3717	3759	3706	3637	3599	3688	3882	3702	3797	3658	3746	3911	3642	3654	3623	3835	3899	3669	3609	3684	3706	3814
8	4031	3827	3887	3888	3755	3682	3970	3448	3845	3796	3749	3743	3666	3793	3911	3881	3821	3681	3841	3954	3697	3784	3768	3862	3926	3713	3643	3811	3813	3926
9	4050	3952	3921	3957	3804	3797	4014	3549	3904	3813	3792	3806	3708	3887	3952	4004	3856	3749	3857	3969	3850	3805	3847	3885	3957	3814	3728	3831	3859	4038
10	4087	4022	3948	4013	3876	3949	4029	3660	3918	3845	3840	3955	3730	3974	3962	4032	3897	3793	3979	4038	3898	3819	3994	3905	4072	3849	3743	3951	3968	4048
11	4097	4069	4007	4035	3897	4008	4052	3731	3963	3900	3894	3980	3843	3994	3990	4102	3919	3804	4012	4053	3924	3893	4024	3992	4081	3895	3829	3972	4018	4085
12	4112	4080	4029	4048	3946	4023	4076	3858	4005	3972	3922	4034	3966	4103	4057	4116	3925	3852	4044	4069	3971	3899	4044	4007	4094	3942	3970	3991	4066	4106
13	4130	4097	4038	4052	3970	4129	4082	3916	4008	4084	4031	4046	3990	4116	4080	4135	3953	3895	4047	4087	3985	3948	4054	4116	4112	3955	4044	4004	4069	4122
14	4140	4110	4041	4119	3980	4136	4095	3958	4024	4099	4056	4140	4008	4123	4110	4150	3988	3911	4064	4098	4024	4077	4072	4130	4118	3959	4068	4009	4098	4133
15	4147	4141	4121	4134	4079	4150	4106	3981	4071	4107	4063	4154	4119	4137	4145	4156	4070	3935	4079	4141	4114	4097	4096	4155	4155	4059	4086	4040	4104	4139
16	4152	4152	4133	4148	4124	4165	4123	3987	4143	4122	4161	4171	4148	4165	4151	4159	4104	4039	4141	4163	4128	4100	4135	4170	4171	4071	4156	4056	4115	4165
17	4157	4157	4158	4154	4137	4168	4148	4081	4173	4154	4173	4176	4157	4176	4157	4168	4154	4081	4154	4173	4137	4170	4176	4176	4173	4170	4158	4157	4137	4168
18	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178
