sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2682	2706	3059	2735	2792	2682	2862	2970	2906	2370	3058	2862	3058	2931	2862	2847	2970	2862	2735	3059	2847	2370	2862	2370
2	2857	2979	3414	2920	3185	2857	3061	3130	3210	2989	3450	3044	3263	3351	3179	3087	3275	3249	2920	3266	3202	2900	3304	3054
3	3090	3353	3466	3305	3304	3114	3308	3253	3459	3390	3517	3114	3365	3620	3384	3243	3401	3335	3040	3353	3334	3011	3405	3358
4	3457	3574	3583	3372	3378	3361	3530	3318	3552	3492	3677	3429	3638	3701	3560	3322	3517	3540	3350	3392	3569	3137	3498	3480
5	3643	3620	3627	3498	3493	3598	3734	3548	3634	3566	3756	3554	3797	3731	3629	3403	3552	3568	3583	3496	3597	3406	3697	3660
6	3714	3775	3716	3547	3534	3653	3763	3733	3663	3747	3806	3670	3854	3778	3675	3507	3730	3650	3666	3578	3649	3521	3734	3733
7	3764	3795	3750	3624	3724	3744	3857	3780	3698	3797	3833	3696	3887	3933	3755	3541	3775	3735	3683	3656	3809	3542	3773	3829
8	3883	3833	3768	3821	3858	3898	3924	3920	3724	3831	3853	3798	3912	3958	3763	3585	3828	3751	3710	3688	3849	3660	3832	3946
9	3924	3883	3900	3847	3895	3934	3964	3952	3746	3944	3923	3811	3974	3973	3775	3632	3843	3779	3861	3761	3879	3698	3923	3961
10	4011	3897	3957	3875	3988	3972	3998	4008	3809	3978	3980	3965	3995	4004	3815	3743	3982	3818	3933	3890	4001	3841	3955	3986
11	4030	3920	3979	3932	4010	3992	4008	4024	3906	3989	3990	3994	4004	4056	3948	3873	3997	3969	3965	3908	4048	3908	4004	4038
12	4076	3972	4011	4041	4034	4032	4047	4040	3943	4014	4084	4006	4026	4063	3969	3919	4028	3990	3976	3956	4077	3942	4020	4080
13	4089	3996	4040	4071	4109	4040	4072	4058	4057	4047	4106	4026	4068	4077	3983	3933	4098	4005	4016	4040	4105	4060	4030	4101
14	4098	4001	4050	4075	4113	4119	4074	4069	4118	4084	4136	4128	4082	4084	3998	4052	4106	4049	4034	4064	4120	4077	4112	4114
15	4142	4105	4112	4098	4123	4140	4093	4083	4132	4107	4147	4134	4085	4101	4033	4092	4144	4054	4092	4113	4124	4121	4123	4139
16	4155	4147	4128	4128	4145	4170	4099	4099	4138	4174	4159	4164	4099	4126	4133	4147	4155	4060	4100	4157	4171	4153	4129	4152
17	4166	4158	4169	4169	4176	4173	4111	4148	4168	4176	4170	4169	4137	4148	4166	4167	4165	4137	4170	4168	4173	4158	4158	4176
18	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178
