sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2931	2970	2735	2694	2931	2735	2370	2870	2826	2706	2870	2370	2521	2521	2694	3058	2862	2996	2931	2694	2870	2862	2370	2706
2	3228	3215	2920	2980	3391	2899	3061	3303	3000	3043	3179	3203	3197	3150	2844	3323	3266	3246	3150	3044	3094	3023	3111	3274
3	3314	3500	3214	3235	3474	2995	3404	3361	3283	3321	3232	3370	3377	3428	3122	3465	3342	3325	3477	3379	3197	3260	3322	3336
4	3544	3590	3255	3519	3604	3336	3472	3428	3426	3437	3332	3580	3501	3521	3186	3539	3449	3479	3680	3533	3356	3449	3376	3467
5	3651	3787	3338	3574	3779	3453	3641	3550	3477	3520	3422	3637	3577	3566	3322	3569	3592	3535	3728	3571	3403	3558	3434	3713
6	3687	3822	3405	3600	3823	3646	3700	3574	3497	3570	3612	3807	3671	3605	3504	3624	3761	3605	3775	3791	3433	3688	3573	3738
7	3757	3897	3587	3647	3934	3676	3725	3661	3659	3679	3775	3850	3719	3714	3555	3796	3797	3792	3801	3930	3637	3713	3774	3773
8	3776	3985	3646	3725	3974	3761	3861	3702	3697	3713	3846	3875	3881	3752	3606	3869	3822	3823	3830	3984	3687	3766	3842	3850
9	3790	4032	3705	3782	4037	3793	3928	3747	3728	3876	3867	3933	3917	3805	3629	3876	3911	3851	3872	3995	3704	3809	3967	3873
10	3942	4051	3748	3808	4050	3835	3968	3883	3769	3891	3885	3945	3928	3934	3794	3943	3934	3946	3938	4013	3766	3940	3985	3935
11	3994	4060	3783	3836	4090	3920	3996	3908	3922	3919	3946	3981	3982	4057	3848	3965	3943	3957	3949	4025	3829	3955	4067	3954
12	4012	4073	3797	3883	4120	3973	4045	3974	3949	3958	3985	4026	4015	4078	3875	3997	4037	3977	3994	4049	3893	3964	4091	3980
13	4019	4116	3849	3889	4128	4020	4103	3995	3971	4057	3995	4127	4070	4123	3922	4003	4048	3993	4009	4085	3952	4019	4097	3996
14	4044	4145	3923	3950	4139	4034	4146	4048	4001	4075	4041	4135	4077	4129	4018	4034	4084	4022	4024	4125	3970	4028	4125	4011
15	4070	4152	3951	3981	4150	4037	4165	4096	4062	4112	4063	4165	4089	4136	4122	4045	4109	4059	4129	4138	3987	4043	4136	4022
16	4100	4164	4049	4105	4156	4092	4167	4108	4079	4131	4076	4171	4109	4146	4159	4077	4126	4066	4155	4151	4094	4056	4146	4066
17	4111	4173	4081	4111	4166	4111	4176	4137	4154	4157	4173	4176	4111	4157	4165	4081	4148	4081	4158	4157	4137	4081	4167	4167
18	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178	4178
