sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24	Rep25	Rep26	Rep27	Rep28	Rep29	Rep30
1	2694	2370	2906	2370	2792	2906	3059	2803	2521	2370	2870	2521	2803	2735	2847	2870	3058	3059	2870	2847	3059	2694	2906	2521	2931	2996	2370	2370	2931	2996
2	3045	2780	3030	3244	3043	3068	3320	2953	2895	3244	3179	2895	3218	2920	3202	3063	3323	3214	3229	3087	3312	2953	3030	2897	3363	3139	3244	3244	3252	3362
3	3239	3308	3124	3363	3179	3244	3458	3295	2988	3307	3303	2988	3353	3040	3293	3339	3401	3338	3466	3335	3541	3173	3192	3047	3495	3245	3363	3307	3499	3489
4	3400	3426	3409	3464	3269	3418	3522	3408	3295	3452	3366	3204	3458	3236	3354	3440	3532	3474	3672	3378	3615	3343	3253	3265	3570	3391	3548	3608	3590	3532
5	3484	3676	3518	3681	3324	3519	3550	3441	3413	3569	3581	3437	3569	3516	3422	3627	3639	3518	3698	3570	3674	3486	3310	3379	3762	3470	3579	3668	3640	3639
6	3578	3733	3554	3770	3347	3613	3595	3540	3487	3681	3634	3483	3628	3674	3483	3718	3664	3641	3762	3760	3706	3586	3444	3447	3787	3640	3789	3700	3695	3688
7	3622	3803	3606	3819	3414	3657	3687	3615	3681	3863	3717	3582	3753	3900	3671	3872	3708	3715	3784	3906	3739	3632	3635	3642	3823	3699	3834	3734	3734	3849
8	3690	3875	3671	3892	3652	3686	3759	3640	3743	3901	3820	3678	3818	3975	3757	3959	3775	3739	3856	3996	3796	3682	3701	3661	3880	3714	3862	3768	3802	3879
9	3705	3916	3692	3913	3697	3707	3889	3718	3783	3947	3879	3819	3833	3992	3833	3977	3799	3765	3903	4014	3905	3749	3842	3818	3911	3764	3913	3815	3830	3898
10	3763	4033	3858	3987	3773	3771	4010	3796	3811	4006	3963	3932	3859	4011	3851	4028	3852	3799	3928	4025	3914	3866	3888	3896	3958	3796	3992	3882	3842	3953
11	3856	4048	3915	3995	3889	3812	4032	3824	3838	4035	3967	3970	3874	4076	3885	4096	3891	3928	3988	4050	3950	3881	3907	3928	4017	3924	4021	3940	3855	3969
12	3975	4068	3939	4048	3983	3840	4066	3874	3954	4075	3990	3989	3918	4096	3928	4109	3956	3983	4009	4074	3975	3947	4025	3978	4106	3942	4038	3975	3911	4004
13	4092	4093	3954	4058	4095	3945	4118	3897	3983	4141	4025	4036	3965	4115	3961	4120	3973	4051	4034	4085	3979	3967	4045	4094	4133	3989	4104	4025	3935	4029
14	4098	4127	4003	4087	4104	4000	4152	3971	4037	4148	4134	4054	4054	4129	4051	4141	4104	4109	4086	4093	4008	4037	4092	4112	4143	4023	4134	4061	3968	4034
15	4136	4132	4109	4105	4123	4016	4170	4105	4105	4156	4168	4078	4071	4158	4114	4166	4128	4154	4093	4105	4110	4068	4141	4130	4167	4043	4148	4070	4000	4046
16	4168	4152	4139	4130	4139	4060	4185	4167	4124	4166	4180	4142	4081	4168	4131	4186	4139	4167	4099	4123	4126	4171	4152	4151	4181	4080	4151	4171	4080	4145
17	4186	4157	4150	4142	4161	4157	4195	4188	4157	4178	4189	4164	4095	4194	4142	4186	4141	4191	4141	4154	4148	4177	4178	4157	4193	4100	4183	4180	4177	4186
18	4200	4197	4189	4190	4175	4197	4198	4189	4195	4189	4198	4175	4105	4198	4162	4191	4153	4191	4191	4183	4175	4198	4195	4182	4196	4105	4193	4189	4182	4195
19	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200
