sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	3059	2706	2847	2792	2803	2735	2970	2847	2996	2826	2735	2862	2792	2370	3058	2735	2931	2521	2370	2735	2931	2803	2792	3059
2	3378	3274	3136	3006	2979	3057	3130	3312	3246	2968	3263	3234	2989	2780	3319	3063	3235	3197	3203	2920	3252	2932	2994	3321
3	3509	3401	3358	3135	3308	3168	3461	3481	3381	3090	3458	3364	3333	3134	3387	3177	3330	3380	3480	2977	3369	3278	3381	3621
4	3591	3532	3429	3234	3536	3214	3539	3583	3605	3265	3554	3434	3427	3238	3451	3261	3574	3506	3542	3341	3521	3393	3508	3667
5	3700	3587	3508	3377	3637	3361	3624	3759	3785	3352	3780	3503	3573	3502	3672	3495	3628	3619	3641	3590	3593	3470	3700	3736
6	3741	3636	3606	3432	3725	3404	3713	3809	3872	3565	3810	3534	3609	3714	3734	3580	3674	3647	3668	3690	3623	3497	3738	3788
7	3762	3732	3627	3648	3851	3524	3781	3854	3991	3657	3837	3555	3692	3750	3824	3682	3832	3690	3816	3749	3829	3597	3857	3858
8	3857	3894	3745	3743	3886	3549	3841	3890	4027	3673	3865	3609	3813	3795	3866	3744	3899	3714	3940	3816	3941	3660	3887	3895
9	3913	3940	3769	3768	3955	3635	3921	3907	4041	3803	3911	3751	3967	3843	3986	3892	3913	3757	3959	3945	3958	3717	3955	4018
10	3969	3977	3849	3847	3987	3754	3942	3935	4055	3866	3969	3801	3982	3859	4011	3909	4015	3839	3997	3985	3993	3761	4069	4057
11	3977	4027	3859	3894	4027	3882	4013	4007	4107	3911	3993	3872	4023	3881	4056	3918	4061	3896	4069	4012	4025	3902	4087	4075
12	4050	4037	3894	3940	4048	4004	4056	4013	4122	3928	4002	4007	4030	3916	4098	4030	4120	3949	4090	4021	4079	3957	4098	4095
13	4066	4051	3905	4016	4092	4052	4073	4025	4136	3946	4042	4014	4037	3932	4136	4046	4139	3969	4099	4059	4086	3969	4124	4132
14	4085	4058	4036	4123	4111	4091	4121	4065	4151	3966	4066	4026	4063	4046	4169	4089	4147	4061	4105	4081	4101	3990	4127	4147
15	4092	4135	4059	4132	4140	4111	4133	4071	4166	4065	4068	4039	4070	4106	4173	4139	4157	4079	4134	4089	4153	4040	4138	4156
16	4111	4159	4133	4163	4141	4125	4141	4145	4186	4164	4076	4069	4171	4146	4182	4150	4163	4177	4139	4155	4160	4140	4149	4180
17	4126	4183	4161	4177	4143	4137	4151	4172	4191	4169	4081	4170	4182	4173	4194	4178	4187	4189	4166	4168	4179	4155	4189	4198
18	4162	4193	4175	4183	4153	4182	4162	4183	4191	4191	4105	4189	4189	4183	4198	4195	4189	4200	4191	4183	4189	4182	4189	4198
19	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200
