sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2521	2803	2862	3058	2826	3058	2826	2826	2931	2706	2862	2931	1684	2370	2826	3058	2906	2970	2792	2706	3058	3058	2735	1684
2	3150	3215	3044	3244	2980	3226	3321	2980	3131	2861	3249	3131	3069	2900	2968	3316	3030	3275	3059	2879	3492	3197	3109	3242
3	3244	3370	3342	3570	3386	3389	3541	3330	3428	3336	3388	3317	3235	3060	3221	3433	3383	3369	3220	3215	3545	3321	3366	3434
4	3317	3546	3568	3750	3495	3475	3582	3409	3487	3467	3493	3450	3295	3137	3267	3537	3446	3462	3289	3268	3637	3463	3569	3579
5	3424	3614	3658	3813	3537	3585	3628	3629	3538	3552	3607	3525	3510	3406	3489	3715	3477	3499	3516	3383	3745	3544	3614	3652
6	3621	3798	3817	3847	3641	3648	3770	3793	3632	3609	3654	3615	3705	3584	3542	3762	3531	3605	3587	3540	3885	3755	3701	3768
7	3689	3830	3912	3909	3707	3753	3902	3835	3821	3707	3706	3662	3743	3685	3597	3817	3588	3645	3614	3703	3907	3789	3854	3799
8	3719	3947	3946	3940	3731	3796	4003	3908	3842	3765	3748	3814	3777	3776	3708	3857	3681	3664	3629	3730	3946	3854	3909	3930
9	3759	4032	4002	3960	3796	3842	4017	3967	3883	3810	3788	3853	3801	3903	3747	3884	3751	3711	3729	3895	3975	3908	4045	3986
10	3822	4048	4053	4001	3834	3857	4085	4010	3921	3843	3799	3985	3860	3980	3774	3898	3771	3789	3884	3929	4022	3952	4057	4000
11	3879	4065	4068	4007	3889	3864	4100	4025	4038	3980	3838	3999	3932	3996	3852	3963	3924	3862	3948	3968	4034	3994	4116	4019
12	3984	4077	4080	4060	3988	3900	4116	4058	4062	4002	3883	4039	3952	4016	3912	3976	3983	3883	3983	3978	4089	4025	4130	4033
13	3999	4113	4090	4113	4015	4013	4123	4071	4069	4043	3990	4048	4028	4094	3924	4088	4059	3928	4004	4051	4100	4046	4142	4052
14	4051	4150	4106	4147	4022	4027	4135	4096	4113	4070	3996	4082	4042	4133	4037	4115	4085	3986	4063	4104	4108	4117	4155	4091
15	4064	4153	4111	4154	4066	4030	4145	4110	4119	4078	4058	4095	4050	4162	4069	4146	4144	4042	4092	4133	4143	4128	4158	4098
16	4069	4165	4123	4169	4071	4059	4151	4113	4135	4084	4067	4119	4054	4162	4075	4172	4160	4059	4123	4148	4163	4141	4164	4102
17	4084	4176	4137	4179	4085	4085	4173	4147	4148	4150	4095	4168	4066	4187	4084	4177	4172	4128	4141	4190	4173	4182	4176	4102
18	4183	4178	4189	4197	4182	4105	4178	4195	4178	4189	4191	4182	4162	4196	4105	4183	4175	4153	4191	4200	4178	4182	4178	4105
19	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200	4200
