sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24	Rep25	Rep26	Rep27	Rep28	Rep29	Rep30
1	2706	1684	2996	2792	2862	2521	3053	3053	2862	3053	2682	2521	3059	2694	2826	2931	2931	2735	3059	3059	2370	2870	2735	2847	2735	2694	3053	2847	2803	2521
2	2947	3069	3210	3130	3249	2932	3298	3308	3151	3315	3211	3023	3391	2953	2980	3131	3130	3057	3320	3194	2899	3063	3033	3105	2960	3214	3275	3185	3065	3131
3	3060	3313	3286	3206	3491	3286	3432	3413	3288	3386	3324	3331	3485	3045	3126	3320	3318	3395	3413	3322	3043	3130	3165	3317	3185	3338	3467	3487	3347	3230
4	3455	3416	3434	3451	3594	3363	3572	3483	3561	3535	3388	3408	3660	3356	3216	3419	3416	3532	3466	3425	3364	3425	3494	3571	3231	3538	3572	3534	3562	3407
5	3543	3572	3493	3651	3660	3395	3621	3591	3637	3630	3577	3492	3761	3478	3541	3655	3649	3595	3644	3653	3487	3541	3640	3649	3496	3749	3680	3605	3767	3467
6	3633	3603	3560	3731	3691	3443	3786	3619	3676	3676	3664	3532	3836	3691	3706	3685	3786	3655	3770	3804	3575	3623	3804	3722	3719	3792	3755	3765	3849	3539
7	3719	3768	3762	3825	3742	3549	3838	3696	3699	3718	3704	3573	3881	3748	3815	3838	3814	3753	3804	3855	3634	3714	3872	3831	3827	3926	3879	3817	3912	3703
8	3749	3808	3798	3847	3759	3634	3886	3728	3707	3781	3846	3736	4009	3810	3847	3863	3839	3847	3906	3883	3798	3738	3887	3859	3958	3965	3922	3925	3981	3802
9	3798	3900	3900	3924	3796	3755	3940	3799	3896	3865	3899	3798	4033	3843	3859	3961	3892	3877	3930	3907	3928	3835	4006	3891	3981	4001	3960	3975	3993	3829
10	3934	3929	3920	3990	3860	3820	3974	3922	4012	4004	4018	3875	4048	3913	3888	4008	3938	3928	3959	3954	3966	3964	4038	3904	4029	4052	3979	4044	4003	3889
11	3996	3959	3939	4018	3916	3947	4011	3957	4043	4018	4040	3951	4069	3939	3926	4036	3962	3968	3973	3969	4055	3988	4071	3984	4041	4061	4000	4059	4028	3906
12	4012	3999	3980	4036	4012	3967	4030	4049	4083	4122	4062	4043	4144	3997	3945	4064	3994	3989	4071	3992	4090	4008	4152	4021	4093	4076	4031	4104	4063	3998
13	4019	4002	4002	4055	4047	4002	4048	4069	4093	4154	4123	4133	4178	4004	3985	4083	4008	4002	4101	4110	4132	4025	4165	4106	4110	4088	4078	4117	4138	4017
14	4080	4099	4032	4067	4073	4021	4053	4103	4124	4199	4140	4180	4187	4041	4083	4089	4016	4003	4133	4179	4140	4042	4172	4146	4126	4161	4090	4135	4208	4054
15	4116	4109	4052	4080	4134	4028	4107	4114	4171	4214	4172	4216	4214	4117	4088	4102	4124	4010	4209	4186	4146	4143	4187	4162	4131	4169	4104	4147	4211	4071
16	4169	4206	4098	4089	4163	4042	4121	4211	4182	4218	4186	4223	4230	4138	4160	4127	4146	4104	4221	4204	4153	4161	4220	4186	4198	4196	4119	4152	4222	4094
17	4180	4233	4194	4169	4172	4127	4152	4216	4191	4236	4213	4229	4230	4155	4164	4142	4161	4200	4230	4207	4168	4193	4236	4186	4204	4232	4156	4155	4237	4209
18	4182	4245	4256	4257	4198	4146	4162	4240	4195	4246	4223	4242	4234	4167	4254	4233	4175	4214	4240	4239	4168	4231	4251	4249	4216	4246	4156	4245	4251	4249
19	4200	4258	4260	4257	4260	4236	4173	4256	4200	4257	4249	4245	4260	4173	4255	4258	4200	4245	4249	4249	4173	4245	4252	4256	4236	4248	4249	4251	4257	4256
20	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261
