sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2706	2870	2370	2931	2706	2694	2521	2862	2792	2931	2931	2906	2370	3059	3058	2847	2370	2996	2906	2862	2792	2682	2826	2803
2	3104	3180	3111	3105	3104	2879	3197	3196	3130	3130	3235	3028	2860	3211	3197	3094	3111	3249	3089	3044	3118	3108	3161	3109
3	3189	3303	3361	3473	3442	3144	3364	3285	3233	3230	3318	3134	3225	3357	3321	3402	3443	3394	3190	3342	3207	3428	3229	3393
4	3364	3455	3568	3583	3654	3205	3619	3361	3501	3495	3576	3286	3305	3596	3416	3457	3691	3452	3394	3449	3426	3517	3428	3467
5	3641	3664	3781	3656	3812	3347	3668	3440	3597	3715	3610	3335	3535	3741	3505	3652	3745	3489	3522	3489	3516	3574	3519	3601
6	3733	3719	3853	3737	3875	3447	3722	3508	3625	3802	3705	3562	3586	3788	3577	3737	3874	3591	3732	3525	3565	3667	3601	3626
7	3781	3751	3889	3837	3933	3680	3749	3627	3746	3848	3855	3608	3647	3860	3653	3758	3916	3639	3763	3624	3653	3718	3693	3795
8	3823	3833	3911	3893	4025	3843	3781	3696	3781	3896	3888	3638	3721	3906	3667	3807	3944	3711	3824	3706	3686	3796	3725	3831
9	3859	3876	3935	3910	4073	3926	3855	3809	3836	3937	3905	3711	3794	3957	3848	3847	3968	3743	3844	3728	3802	3861	3891	3902
10	3902	3902	3971	3937	4097	3945	3939	3952	3883	3957	4020	3779	3846	4009	3986	3870	4032	3838	3863	3913	3832	3904	4011	3952
11	3957	3923	4018	4037	4112	3958	3977	3992	3890	3997	4063	3813	3951	4024	4032	3895	4048	3978	3892	4038	3957	3913	4063	4058
12	3998	4054	4066	4140	4124	3994	3987	4076	3946	4010	4087	3854	3977	4103	4072	3935	4075	4090	3973	4080	3968	3977	4096	4072
13	4126	4125	4079	4152	4148	4053	4006	4119	4061	4121	4103	3906	3996	4199	4109	3990	4172	4191	4005	4119	3985	3991	4116	4169
14	4144	4132	4105	4167	4161	4148	4019	4148	4111	4130	4121	4039	4029	4214	4123	4080	4192	4209	4112	4145	4049	4022	4174	4182
15	4167	4173	4114	4175	4182	4163	4062	4158	4128	4145	4133	4075	4057	4221	4142	4097	4219	4213	4124	4175	4083	4096	4181	4220
16	4176	4206	4127	4184	4215	4171	4070	4158	4158	4171	4151	4129	4087	4233	4148	4127	4226	4234	4216	4186	4156	4147	4224	4228
17	4191	4209	4200	4184	4239	4231	4091	4249	4229	4180	4159	4135	4155	4240	4237	4174	4243	4240	4230	4233	4164	4152	4237	4236
18	4247	4249	4240	4246	4249	4241	4160	4250	4240	4244	4171	4153	4246	4249	4249	4196	4255	4246	4236	4239	4173	4162	4246	4241
19	4260	4256	4245	4251	4260	4254	4252	4254	4249	4251	4173	4225	4251	4258	4256	4200	4256	4252	4252	4255	4261	4200	4256	4248
20	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261
