sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2682	2792	2682	2735	1684	2803	3053	3053	2803	3058	2682	3058	2847	2870	2862	2370	2931	2803	2735	2906	2682	2906	3053	2803
2	2844	3239	3201	3063	3048	2953	3298	3275	3266	3226	3171	3461	3120	3094	3151	2900	3286	2959	3226	3158	3026	3057	3408	3038
3	2966	3318	3476	3243	3288	3227	3367	3341	3338	3561	3440	3510	3236	3281	3351	3230	3470	3331	3314	3448	3367	3416	3537	3353
4	3176	3562	3626	3346	3427	3310	3513	3422	3576	3654	3510	3620	3381	3393	3405	3317	3527	3598	3578	3534	3510	3543	3633	3603
5	3295	3685	3710	3451	3538	3543	3632	3637	3651	3687	3554	3692	3434	3475	3605	3579	3582	3690	3676	3566	3678	3640	3699	3639
6	3508	3705	3729	3689	3671	3719	3710	3726	3733	3733	3625	3731	3562	3505	3747	3813	3731	3772	3733	3616	3725	3689	3794	3805
7	3555	3742	3802	3711	3822	3800	3802	3766	3757	3810	3794	3784	3756	3651	3831	3863	3790	3844	3839	3767	3796	3759	3820	3846
8	3583	3770	3895	3756	3851	3944	3854	3823	3897	3841	3875	3854	3804	3778	3849	3951	3837	3921	3863	3872	3878	3812	3842	3899
9	3779	3798	3967	3806	3872	4057	3888	3904	3913	3900	4037	3917	3863	3792	3950	3973	3873	3953	3909	3954	3898	3951	3970	3911
10	3856	3835	3992	3919	3913	4111	3912	3915	3981	3909	4050	3984	3892	3860	3977	4000	3885	3999	3951	4019	4016	3964	4092	3962
11	3964	3941	4012	4031	3930	4124	3923	4004	4017	4048	4065	4000	3913	3995	4007	4035	3923	4068	3965	4035	4026	4101	4109	4024
12	4067	3984	4028	4078	4073	4151	3943	4077	4041	4070	4150	4008	3962	4023	4084	4074	4070	4122	4037	4049	4047	4109	4123	4073
13	4103	4006	4085	4118	4101	4178	4078	4146	4127	4091	4186	4143	4063	4032	4106	4096	4124	4133	4049	4093	4069	4132	4140	4094
14	4135	4010	4154	4125	4124	4192	4099	4177	4138	4110	4205	4206	4086	4161	4187	4133	4163	4169	4098	4111	4101	4154	4158	4181
15	4204	4028	4217	4140	4172	4212	4136	4216	4143	4131	4225	4221	4187	4172	4208	4140	4190	4216	4128	4140	4142	4193	4174	4195
16	4224	4042	4232	4150	4213	4229	4152	4225	4149	4147	4234	4230	4199	4186	4209	4166	4203	4230	4138	4233	4154	4215	4192	4203
17	4237	4159	4236	4154	4241	4235	4194	4232	4242	4154	4240	4236	4235	4197	4225	4173	4242	4235	4165	4241	4174	4216	4208	4214
18	4246	4192	4247	4156	4251	4240	4205	4243	4248	4244	4245	4241	4239	4219	4230	4183	4255	4255	4169	4247	4214	4222	4212	4217
19	4249	4225	4256	4245	4251	4245	4249	4248	4255	4260	4251	4257	4249	4255	4236	4245	4261	4260	4258	4260	4245	4225	4236	4225
20	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261	4261
