sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24	Rep25	Rep26	Rep27	Rep28	Rep29	Rep30
1	2735	2803	2864	2906	2370	2735	2641	2370	2868	2906	2706	2970	2847	2965	2521	2792	2706	2641	2965	2803	2906	3058	2931	3059	2931	2996	2862	2870	2803	2868
2	2897	3076	3202	3030	2900	2947	3159	3105	3062	3043	3145	3225	3087	3278	3073	3059	2949	2939	3104	3216	3045	3237	3131	3303	3203	3162	3048	3184	3163	3031
3	3268	3192	3459	3126	3368	3003	3275	3317	3236	3194	3423	3511	3167	3545	3388	3131	3122	3033	3391	3518	3113	3396	3361	3440	3490	3268	3396	3449	3396	3272
4	3407	3363	3590	3280	3529	3295	3438	3500	3332	3335	3481	3599	3329	3636	3454	3198	3245	3314	3556	3653	3196	3503	3516	3621	3622	3328	3583	3534	3621	3560
5	3470	3599	3762	3337	3577	3492	3660	3559	3525	3589	3672	3696	3455	3773	3544	3326	3404	3466	3638	3759	3337	3539	3673	3716	3698	3456	3680	3564	3682	3656
6	3672	3689	3817	3610	3657	3648	3707	3626	3597	3706	3798	3753	3551	3925	3588	3528	3517	3523	3699	3822	3480	3573	3831	3807	3773	3628	3714	3749	3807	3837
7	3784	3760	3899	3810	3731	3750	3798	3748	3664	3876	3840	3896	3743	3968	3714	3738	3743	3645	3754	3921	3575	3689	3875	3968	3825	3661	3776	3862	3857	3940
8	3836	3835	3995	3823	3817	3826	3877	3792	3710	3928	3914	3944	3813	3986	3833	3891	3816	3715	3812	3997	3620	3829	3924	4089	3894	3795	3797	4011	3964	3957
9	3906	3868	4014	3961	3929	3864	3982	3822	3730	3943	3945	4033	3855	4086	3874	4011	3881	3856	3880	4057	3852	3901	3947	4129	3915	3916	3821	4029	3989	4018
10	3954	3967	4030	4075	3958	3890	4074	3859	3748	4000	4094	4046	3890	4120	3985	4119	4020	3995	3978	4112	3993	3930	3987	4176	3979	3959	3844	4142	4014	4133
11	3977	4078	4092	4118	3988	3940	4082	3938	3825	4027	4161	4084	3932	4151	3999	4131	4081	4021	4028	4178	4094	3991	4047	4187	4010	4000	4026	4165	4033	4154
12	4078	4104	4181	4128	4022	4023	4151	4018	3936	4066	4182	4097	4051	4161	4020	4178	4116	4052	4053	4210	4136	4019	4083	4218	4031	4045	4098	4181	4111	4186
13	4091	4182	4231	4143	4091	4083	4197	4072	4017	4103	4213	4111	4074	4167	4116	4220	4201	4167	4064	4235	4163	4087	4175	4231	4042	4081	4106	4209	4155	4194
14	4124	4205	4252	4180	4127	4112	4210	4179	4133	4107	4236	4147	4110	4172	4128	4241	4212	4209	4083	4247	4207	4104	4192	4250	4056	4111	4114	4227	4167	4209
15	4209	4222	4264	4209	4163	4133	4221	4189	4154	4119	4252	4205	4141	4198	4154	4252	4225	4238	4097	4263	4232	4182	4210	4256	4103	4128	4165	4237	4196	4233
16	4242	4256	4268	4253	4167	4149	4243	4211	4211	4177	4259	4214	4162	4219	4166	4260	4233	4256	4112	4277	4254	4202	4220	4291	4112	4155	4199	4244	4239	4253
17	4273	4268	4278	4276	4200	4173	4273	4225	4239	4189	4281	4240	4195	4274	4186	4271	4250	4272	4156	4284	4255	4251	4248	4297	4183	4169	4232	4252	4256	4270
18	4277	4281	4301	4296	4262	4227	4278	4247	4300	4254	4288	4253	4235	4292	4192	4280	4268	4277	4159	4292	4285	4256	4272	4300	4189	4185	4248	4276	4268	4278
19	4292	4288	4313	4309	4275	4271	4289	4257	4308	4272	4298	4265	4281	4303	4239	4288	4270	4306	4247	4297	4306	4274	4300	4318	4296	4199	4275	4291	4277	4285
20	4303	4290	4321	4319	4280	4277	4295	4277	4310	4301	4318	4296	4282	4305	4284	4298	4277	4309	4252	4317	4313	4306	4306	4324	4297	4279	4280	4310	4301	4291
21	4311	4306	4323	4323	4290	4308	4309	4294	4317	4302	4323	4303	4309	4308	4293	4304	4314	4310	4282	4322	4318	4314	4313	4325	4301	4284	4297	4320	4310	4321
22	4317	4311	4326	4325	4301	4319	4311	4301	4325	4315	4324	4318	4311	4325	4310	4313	4320	4310	4302	4326	4323	4315	4314	4327	4303	4307	4299	4322	4316	4321
23	4319	4324	4327	4325	4311	4327	4320	4318	4325	4325	4325	4322	4314	4327	4323	4324	4322	4316	4318	4326	4327	4317	4314	4327	4325	4314	4310	4323	4320	4324
24	4323	4324	4327	4326	4313	4327	4321	4321	4325	4326	4325	4326	4322	4327	4325	4326	4324	4322	4319	4326	4327	4318	4317	4327	4326	4326	4321	4323	4324	4326
25	4325	4324	4327	4326	4322	4327	4325	4322	4326	4326	4326	4327	4327	4327	4327	4327	4326	4326	4325	4326	4327	4325	4324	4327	4327	4327	4326	4327	4326	4327
26	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327
