sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2970	2870	2826	2521	2931	2370	2706	2931	2521	2906	2521	3059	2906	2694	2370	2931	2694	2965	3053	2864	2965	2694	2870	2735
2	3219	3142	3003	3000	3351	2900	2900	3203	3028	3089	2897	3366	3150	2879	3009	3351	2939	3226	3205	3048	3146	2879	3063	3238
3	3421	3252	3184	3260	3441	3176	3176	3429	3240	3185	3314	3632	3339	3243	3193	3500	3298	3350	3292	3200	3459	3292	3267	3387
4	3534	3375	3364	3421	3654	3244	3333	3536	3330	3406	3609	3698	3395	3487	3428	3627	3456	3468	3451	3283	3662	3480	3368	3452
5	3606	3557	3492	3524	3735	3439	3363	3634	3518	3529	3735	3799	3638	3699	3621	3723	3566	3553	3582	3569	3715	3527	3394	3492
6	3725	3631	3595	3723	3760	3556	3481	3761	3622	3627	3810	3895	3809	3742	3657	3839	3672	3669	3633	3725	3814	3573	3429	3597
7	3797	3787	3736	3852	3794	3593	3516	3811	3804	3784	3836	3947	3927	3775	3717	3895	3726	3712	3709	3855	3889	3658	3649	3711
8	3949	3810	3860	3935	3858	3663	3602	3880	3847	3812	3955	3983	3990	3862	3750	3969	3903	3905	3769	3892	3937	3826	3749	3728
9	3971	3937	3889	4003	3906	3865	3645	3946	3913	3864	4014	4005	4028	3939	3794	4050	3967	3941	3914	3950	4009	3959	3821	3796
10	4005	3969	4030	4098	3980	3884	3804	4007	3933	3925	4054	4045	4046	3989	3941	4082	4001	3966	3982	4031	4034	4020	3931	3822
11	4029	4004	4061	4122	4014	3918	3913	4041	3972	3969	4150	4104	4082	4025	3984	4164	4063	4063	4035	4106	4058	4053	3982	3906
12	4042	4064	4096	4168	4052	3972	3955	4067	4080	3982	4165	4205	4135	4070	4070	4217	4076	4129	4046	4125	4096	4085	4047	4006
13	4114	4139	4162	4197	4062	4014	4086	4090	4110	4037	4207	4213	4148	4114	4091	4229	4081	4174	4087	4143	4108	4158	4145	4118
14	4184	4184	4195	4211	4115	4087	4143	4170	4129	4100	4243	4244	4169	4139	4185	4235	4097	4189	4103	4180	4130	4167	4150	4173
15	4216	4199	4251	4212	4197	4109	4170	4177	4152	4216	4275	4272	4177	4147	4227	4244	4107	4212	4134	4190	4232	4200	4162	4179
16	4234	4244	4272	4225	4233	4142	4189	4185	4159	4238	4282	4279	4207	4165	4240	4254	4218	4225	4158	4205	4280	4212	4181	4188
17	4243	4272	4289	4237	4245	4243	4230	4197	4167	4241	4302	4294	4239	4249	4247	4259	4224	4231	4245	4214	4288	4218	4191	4208
18	4251	4277	4293	4264	4248	4252	4236	4284	4269	4246	4307	4297	4250	4269	4278	4283	4244	4241	4261	4221	4291	4255	4268	4237
19	4271	4292	4297	4273	4269	4262	4246	4285	4305	4250	4314	4299	4271	4281	4286	4290	4250	4264	4263	4231	4298	4275	4277	4242
20	4276	4294	4301	4293	4288	4272	4290	4286	4312	4287	4317	4315	4305	4286	4298	4297	4290	4281	4298	4241	4302	4291	4285	4270
21	4296	4305	4305	4308	4300	4289	4300	4303	4320	4291	4318	4316	4315	4308	4302	4302	4311	4306	4314	4245	4302	4301	4307	4283
22	4296	4309	4308	4312	4303	4299	4311	4313	4322	4303	4322	4317	4317	4314	4314	4303	4313	4316	4318	4260	4323	4310	4311	4292
23	4318	4313	4318	4318	4326	4305	4316	4323	4324	4309	4325	4318	4321	4324	4321	4312	4314	4316	4323	4299	4324	4326	4319	4304
24	4318	4324	4322	4322	4326	4323	4324	4326	4326	4317	4326	4326	4323	4327	4325	4327	4318	4316	4325	4308	4326	4327	4326	4325
25	4327	4324	4326	4322	4326	4324	4325	4327	4326	4326	4327	4326	4326	4327	4327	4327	4320	4322	4326	4322	4327	4327	4326	4327
26	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327
