sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2803	2965	2862	2996	2870	2682	2996	2792	2970	2870	2965	2864	2521	2792	2370	2931	2931	2868	2965	2370	2847	2706	3058	2906
2	2995	3140	3061	3209	3180	2943	3238	3064	3235	3298	3202	3202	2932	3316	3009	3228	3289	3194	3147	2865	3308	2995	3363	3235
3	3200	3403	3401	3482	3347	3059	3410	3213	3312	3432	3411	3376	3189	3458	3273	3511	3451	3324	3354	3409	3501	3227	3550	3386
4	3488	3589	3485	3607	3568	3418	3535	3348	3421	3543	3663	3564	3350	3544	3484	3644	3591	3397	3608	3506	3688	3536	3786	3655
5	3636	3675	3711	3691	3668	3463	3603	3444	3563	3661	3796	3659	3414	3662	3524	3714	3680	3498	3778	3556	3727	3610	3890	3834
6	3714	3770	3798	3783	3739	3653	3780	3494	3621	3704	3831	3683	3465	3805	3667	3883	3791	3526	3827	3641	3873	3697	3912	3926
7	3742	3835	3868	3856	3844	3783	3830	3539	3731	3727	3876	3840	3667	3941	3774	3943	3858	3577	3852	3666	3954	3740	3975	3949
8	3888	3965	3988	3964	3862	3983	3858	3615	3827	3741	3932	3865	3723	4013	3884	3966	3912	3646	3903	3751	4014	3917	4031	4001
9	3998	4093	4071	4056	3898	4070	3953	3628	3962	3792	3984	4040	3789	4042	3942	3992	4026	3681	3963	3801	4143	4057	4110	4023
10	4016	4120	4092	4081	3932	4094	4056	3683	4025	3920	4015	4088	3911	4058	3977	4113	4037	3736	4006	3902	4196	4108	4139	4038
11	4040	4137	4117	4099	3957	4141	4095	3703	4046	4002	4102	4141	3930	4111	3990	4167	4111	3805	4022	4019	4206	4117	4165	4060
12	4077	4155	4128	4128	4002	4168	4117	3735	4082	4030	4136	4196	4022	4136	4018	4192	4134	4005	4056	4082	4221	4145	4214	4077
13	4081	4200	4172	4139	4009	4204	4153	3901	4102	4060	4153	4205	4047	4162	4086	4215	4151	4064	4103	4125	4231	4167	4229	4089
14	4101	4230	4182	4149	4038	4242	4246	4003	4112	4087	4181	4230	4172	4176	4102	4223	4171	4099	4124	4165	4255	4203	4244	4127
15	4192	4243	4204	4167	4084	4251	4254	4091	4191	4187	4193	4236	4198	4182	4125	4239	4176	4141	4142	4176	4261	4231	4255	4160
16	4246	4261	4212	4186	4121	4261	4279	4145	4193	4193	4230	4243	4218	4194	4148	4249	4217	4151	4197	4220	4275	4244	4270	4181
17	4252	4273	4247	4194	4149	4278	4281	4177	4199	4200	4280	4254	4264	4204	4193	4260	4268	4237	4223	4226	4280	4276	4284	4205
18	4265	4277	4252	4199	4189	4281	4291	4191	4231	4256	4282	4262	4274	4224	4200	4271	4274	4245	4258	4248	4281	4286	4292	4214
19	4290	4280	4273	4209	4212	4287	4297	4217	4253	4281	4307	4281	4288	4226	4224	4275	4278	4268	4266	4257	4288	4309	4297	4233
20	4301	4292	4285	4216	4218	4302	4303	4289	4267	4291	4320	4308	4301	4300	4229	4298	4298	4288	4299	4258	4305	4315	4302	4239
21	4305	4297	4290	4236	4230	4310	4307	4313	4273	4299	4321	4321	4312	4315	4312	4306	4315	4305	4316	4263	4321	4316	4315	4318
22	4305	4299	4315	4237	4317	4321	4320	4318	4303	4307	4321	4326	4317	4318	4314	4309	4315	4311	4322	4313	4323	4318	4319	4321
23	4310	4314	4316	4322	4321	4321	4325	4320	4310	4312	4321	4326	4319	4320	4316	4317	4324	4323	4324	4322	4327	4322	4320	4323
24	4310	4316	4316	4323	4327	4323	4327	4322	4319	4324	4326	4326	4325	4326	4318	4326	4324	4323	4326	4325	4327	4325	4321	4326
25	4326	4326	4327	4326	4327	4327	4327	4324	4325	4325	4327	4327	4327	4327	4322	4327	4325	4326	4326	4325	4327	4326	4326	4327
26	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327	4327
