# proteome   strain    species  group   genus   host    pathogenicity
CBOT   CBOT clostridium_botulinum   CBOT    clostridium None        unknown
CP1207   CP1207 clostridium_perfringens notCPMPRL   clostridium None    unknown
CP13     CP13 clostridium_perfringens   notCPMPRL   clostridium None    unknown
CPATCC13124  CPATCC13124 clostridium_perfringens    notCPMPRL   clostridium None    unknown
CPATCC3626   CPATCC3626 clostridium_perfringens notCPMPRL   clostridium None    unknown
CPCP4    CPCP4 clostridium_perfringens  notCPMPRL   clostridium None    unknown
CPF262   CPF262 clostridium_perfringens notCPMPRL   clostridium None    unknown
CPF4969  CPF4969 clostridium_perfringens    notCPMPRL   clostridium None    unknown
CPFORC   CPFORC clostridium_perfringens notCPMPRL   clostridium None    unknown
CPJGS1721    CPJGS1721 clostridium_perfringens  notCPMPRL   clostridium None    unknown
CPJGS1495    CPJGS1495 clostridium_perfringens  notCPMPRL   clostridium None    unknown
CPJGS1987    CPJGS1987 clostridium_perfringens  notCPMPRL   clostridium None    unknown
CPJJC    CPJJC clostridium_perfringens  notCPMPRL   clostridium None    unknown
CPJP55   CPJP55 clostridium_perfringens notCPMPRL   clostridium None    unknown
CPJP838  CPJP838 clostridium_perfringens    notCPMPRL   clostridium None    unknown
CPMJR7757A   CPMJR7757A clostridium_perfringens notCPMPRL   clostridium None    unknown
CPMPRL3750   CPMPRL clostridium_perfringens CPMPRL  clostridium human   commensal
CPMPRL4350   CPMPRL clostridium_perfringens CPMPRL  clostridium human   commensal
CPMPRL4450   CPMPRL clostridium_perfringens CPMPRL  clostridium human   commensal
CPMPRL4477   CPMPRL clostridium_perfringens CPMPRL  clostridium human   commensal
CPMPRL4492   CPMPRL clostridium_perfringens CPMPRL  clostridium human   commensal
CPMPRL4716   CPMPRL clostridium_perfringens CPMPRL  clostridium chicken commensal
CPMPRL4725   CPMPRL clostridium_perfringens CPMPRL  clostridium chicken commensal
CPMPRL4782   CPMPRL clostridium_perfringens CPMPRL  clostridium swan    unknown
CPNCTC8239   CPNCTC8239 clostridium_perfringens notCPMPRL   clostridium None    unknown
CPSM101  CPSM101 clostridium_perfringens    notCPMPRL   clostridium None    unknown
CPWAL-14572  CPWAL-14572 clostridium_perfringens    notCPMPRL   clostridium None    unknown
