clusterID	CBOT	CP1207	CP13	CPATCC13124	CPATCC3626	CPCP4	CPF262	CPF4969	CPFORC	CPJGS1721	CPJGS1495	CPJGS1987	CPJJC	CPJP55	CPJP838	CPMJR7757A	CPMPRL3750	CPMPRL4350	CPMPRL4450	CPMPRL4477	CPMPRL4492	CPMPRL4716	CPMPRL4725	CPMPRL4782	CPNCTC8239	CPSM101	CPWAL-14572
OG0000000	3	4	4	4	4	4	5	2	5	3	3	4	5	3	3	3	4	4	4	4	4	3	3	4	4	3	5
OG0000001	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
OG0000002	2	3	4	4	3	3	3	3	3	4	3	3	3	1	4	1	4	2	0	0	3	4	3	7	4	3	3
OG0000003	0	0	3	3	3	1	1	2	3	2	2	2	2	5	2	1	6	4	0	1	11	2	1	0	1	4	1
OG0000004	1	0	3	3	2	0	3	1	3	2	2	2	0	3	3	1	3	3	3	3	2	4	3	3	3	2	3
OG0000005	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
OG0000006	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	1
OG0000007	0	1	1	0	6	0	1	2	1	8	4	11	2	3	2	1	1	0	0	1	1	0	1	7	0	0	1
OG0000008	0	2	2	2	2	2	2	2	2	2	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	1	2
OG0000009	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
OG0000010	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
OG0000011	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
OG0000012	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
OG0000013	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
OG0000014	1	1	0	3	3	1	3	3	3	3	3	3	2	3	1	1	3	3	2	1	1	1	3	1	1	1	1
OG0000015	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
OG0000016	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2
OG0000017	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
OG0000018	1	2	1	2	2	3	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2
OG0000019	2	2	0	2	2	2	2	2	2	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
OG0000020	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2
OG0000021	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2
OG0000022	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2
OG0000023	0	0	1	0	2	2	4	3	1	3	4	4	1	3	3	3	4	1	1	0	0	2	2	1	0	2	3
OG0000024	1	2	2	2	2	2	1	2	2	0	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2
OG0000025	0	1	2	1	4	3	1	2	1	3	5	2	1	3	1	2	2	1	1	2	1	1	1	2	1	3	1
OG0000026	1	1	1	2	2	2	2	2	2	2	2	2	1	0	2	1	2	3	2	2	2	2	2	2	2	1	2
OG0000027	0	2	1	2	3	2	2	2	2	2	3	2	1	3	2	2	1	2	1	1	1	1	2	3	2	1	1
OG0000028	0	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2
OG0000029	1	0	1	0	4	2	3	1	1	4	3	6	1	5	3	3	0	1	0	0	0	0	1	3	0	0	2
OG0000030	0	2	0	2	3	1	3	0	2	2	4	4	0	1	2	2	1	4	3	2	2	1	0	2	0	0	0
OG0000031	0	0	3	0	0	2	0	3	1	0	5	0	2	2	1	3	2	1	0	0	2	0	0	0	0	16	0
OG0000032	1	1	2	2	1	2	2	1	2	2	1	2	1	1	1	1	2	1	2	2	2	2	1	2	1	2	2
OG0000033	0	0	1	0	2	2	3	1	1	4	3	9	1	4	3	0	0	1	0	0	0	0	1	3	1	0	2
OG0000034	4	1	1	1	3	1	2	2	1	2	3	2	3	0	2	2	1	1	0	1	2	0	1	1	2	1	1
OG0000035	0	1	2	1	2	2	1	2	1	3	3	1	1	2	2	2	2	1	1	1	1	2	2	2	1	0	2
OG0000036	8	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	1	1	1
OG0000037	0	2	1	2	3	2	2	2	2	1	3	2	0	2	1	1	0	2	1	1	0	1	2	2	2	0	2
OG0000038	0	1	1	3	2	3	2	2	2	1	3	2	1	1	2	0	1	2	1	1	1	1	1	0	1	1	3
OG0000039	0	0	1	0	3	2	3	1	1	1	3	9	1	4	3	0	0	1	0	0	0	0	1	3	0	0	2
OG0000040	3	2	1	1	2	1	2	1	1	1	2	1	1	1	2	1	1	2	1	1	2	2	2	1	1	1	1
OG0000041	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	2	2	2	1	1	1
OG0000042	1	1	2	2	2	1	2	1	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2
OG0000043	0	2	2	1	1	1	2	2	1	1	2	2	2	1	1	1	2	1	1	2	1	2	2	1	1	1	1
OG0000044	0	0	1	0	4	0	0	1	1	2	4	6	1	3	2	1	1	0	0	1	0	0	2	4	0	2	1
OG0000045	0	0	0	1	3	2	2	2	1	1	2	4	1	1	5	2	0	1	1	0	0	0	1	2	0	1	4
OG0000046	4	1	1	2	1	1	1	2	2	1	2	0	2	1	2	0	2	0	1	2	1	2	0	1	2	0	2
OG0000047	2	2	0	2	0	2	2	1	1	1	3	2	1	1	2	2	2	1	3	1	1	1	1	0	0	0	2
OG0000048	1	1	1	1	1	1	1	1	1	1	2	0	2	1	2	2	2	1	1	1	2	2	2	2	1	2	1
OG0000049	6	1	1	1	2	0	1	1	0	1	2	1	1	0	3	1	1	3	1	0	0	2	2	2	1	0	1
OG0000050	8	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
OG0000051	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1
OG0000052	1	1	1	2	2	1	1	1	1	1	2	3	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1
OG0000053	3	2	0	1	2	4	1	1	1	1	1	4	1	3	1	0	1	0	1	0	0	0	3	1	0	0	1
