rankID	levelID	cluster_count	cluster_singleton_count	cluster_monoton_count	cluster_multiton_count	protein_count	protein_singleton_count	protein_monoton_count	protein_multiton_count	protein_span	members_count	members
proteome	CPATCC13124	2724	18	0	2706	2779	18	0	2761	None	1	CPATCC13124
proteome	CPMPRL4477	2928	157	0	2771	2999	157	0	2842	None	1	CPMPRL4477
proteome	CPMPRL4782	3166	113	0	3053	3292	113	0	3179	None	1	CPMPRL4782
proteome	CPMPRL4450	2714	73	0	2641	2764	73	0	2691	None	1	CPMPRL4450
proteome	CPNCTC8239	2727	33	0	2694	2762	33	0	2729	None	1	CPNCTC8239
proteome	CPATCC3626	3057	61	0	2996	3217	61	0	3156	None	1	CPATCC3626
proteome	CPMPRL4725	3016	51	0	2965	3085	51	0	3034	None	1	CPMPRL4725
proteome	CBOT	2961	1277	3	1681	3332	1277	17	2038	None	1	CBOT
proteome	CPF4969	2871	45	0	2826	2949	45	0	2904	None	1	CPF4969
proteome	CPJJC	2746	11	0	2735	2796	11	0	2785	None	1	CPJJC
proteome	CPWAL-14572	2886	24	0	2862	2963	24	0	2939	None	1	CPWAL-14572
proteome	CPMPRL4492	2703	40	0	2663	2767	40	0	2727	None	1	CPMPRL4492
proteome	CPJP838	3485	426	0	3059	3616	426	0	3190	None	1	CPJP838
proteome	CPFORC	2826	23	0	2803	2885	23	0	2862	None	1	CPFORC
proteome	CPMPRL4350	2911	47	0	2864	2977	47	0	2930	None	1	CPMPRL4350
proteome	CPJGS1495	2860	68	0	2792	3030	68	0	2962	None	1	CPJGS1495
proteome	CPMPRL3750	2839	36	0	2803	2912	36	0	2876	None	1	CPMPRL3750
proteome	CPJGS1987	3255	197	0	3058	3540	197	0	3343	None	1	CPJGS1987
proteome	CPJP55	2899	29	0	2870	3037	29	0	3008	None	1	CPJP55
proteome	CP13	2538	17	0	2521	2586	17	0	2569	None	1	CP13
proteome	CPMPRL4716	2900	32	0	2868	2962	32	0	2930	None	1	CPMPRL4716
proteome	CP1207	2700	18	0	2682	2742	18	0	2724	None	1	CP1207
proteome	CPSM101	2418	48	0	2370	2504	48	0	2456	None	1	CPSM101
proteome	CPCP4	3075	105	0	2970	3222	105	0	3117	None	1	CPCP4
proteome	CPF262	2940	34	0	2906	3026	34	0	2992	None	1	CPF262
proteome	CPMJR7757A	3001	70	0	2931	3093	70	0	3023	None	1	CPMJR7757A
proteome	CPJGS1721	2917	70	0	2847	3136	70	0	3066	None	1	CPJGS1721
